epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
120,53.2823,0.41614,0.35548,0.82188,0.98773,1,0.995,0.91257,0.37348,0.34086,0.8261,0.000867832,0.000867832,0.000867832
121,53.7265,0.3527,0.33637,0.81635,0.98773,1,0.995,0.91257,0.37348,0.34086,0.8261,0.000863116,0.000863116,0.000863116
122,54.1977,0.38041,0.35929,0.85456,0.98773,1,0.995,0.91257,0.37348,0.34086,0.8261,0.0008584,0.0008584,0.0008584
123,54.6719,0.41956,0.35414,0.87645,0.98773,1,0.995,0.91257,0.37348,0.34086,0.8261,0.000853685,0.000853685,0.000853685
124,55.1353,0.3692,0.36164,0.83938,0.97778,1,0.995,0.88635,0.37613,0.33833,0.82084,0.000848969,0.000848969,0.000848969
125,55.5506,0.35561,0.34479,0.81066,0.97778,1,0.995,0.88635,0.37613,0.33833,0.82084,0.000844253,0.000844253,0.000844253
126,56.0644,0.36433,0.32443,0.78343,0.97778,1,0.995,0.88635,0.37613,0.33833,0.82084,0.000839537,0.000839537,0.000839537
127,56.4778,0.39353,0.36048,0.8055,0.97778,1,0.995,0.88635,0.37613,0.33833,0.82084,0.000834822,0.000834822,0.000834822
128,56.9105,0.41322,0.35342,0.83621,0.97302,1,0.995,0.8983,0.40904,0.34172,0.82212,0.000830106,0.000830106,0.000830106
129,57.3589,0.39061,0.37083,0.84803,0.97302,1,0.995,0.8983,0.40904,0.34172,0.82212,0.00082539,0.00082539,0.00082539
130,57.7975,0.3644,0.33512,0.82842,0.97302,1,0.995,0.8983,0.40904,0.34172,0.82212,0.000820675,0.000820675,0.000820675
131,58.2141,0.38766,0.34585,0.85623,0.97302,1,0.995,0.8983,0.40904,0.34172,0.82212,0.000815959,0.000815959,0.000815959
132,58.643,0.33642,0.29763,0.76066,0.96826,1,0.995,0.90369,0.39864,0.33811,0.82297,0.000811243,0.000811243,0.000811243
133,59.0655,0.34077,0.30486,0.79687,0.96826,1,0.995,0.90369,0.39864,0.33811,0.82297,0.000806528,0.000806528,0.000806528
134,59.4797,0.35344,0.31896,0.81733,0.96826,1,0.995,0.90369,0.39864,0.33811,0.82297,0.000801812,0.000801812,0.000801812
135,59.9002,0.34874,0.31308,0.82137,0.96826,1,0.995,0.90369,0.39864,0.33811,0.82297,0.000797096,0.000797096,0.000797096
136,60.4622,0.34756,0.31496,0.84215,0.98029,1,0.995,0.92148,0.39059,0.32273,0.81809,0.00079238,0.00079238,0.00079238
137,60.9208,0.35654,0.30548,0.77713,0.98029,1,0.995,0.92148,0.39059,0.32273,0.81809,0.000787665,0.000787665,0.000787665
138,61.3649,0.38107,0.32673,0.83834,0.98029,1,0.995,0.92148,0.39059,0.32273,0.81809,0.000782949,0.000782949,0.000782949
139,61.8125,0.35094,0.32429,0.84688,0.98029,1,0.995,0.92148,0.39059,0.32273,0.81809,0.000778233,0.000778233,0.000778233
140,62.27,0.35608,0.31363,0.78901,0.9841,1,0.995,0.92779,0.38139,0.29875,0.82047,0.000773518,0.000773518,0.000773518
141,62.7171,0.32705,0.31081,0.79792,0.9841,1,0.995,0.92779,0.38139,0.29875,0.82047,0.000768802,0.000768802,0.000768802
142,63.1873,0.3808,0.36087,0.82045,0.9841,1,0.995,0.92779,0.38139,0.29875,0.82047,0.000764086,0.000764086,0.000764086
143,63.6698,0.37016,0.34077,0.85086,0.9841,1,0.995,0.92779,0.38139,0.29875,0.82047,0.000759371,0.000759371,0.000759371
144,64.1431,0.35812,0.35405,0.83346,0.97904,1,0.995,0.91167,0.35282,0.28856,0.80628,0.000754655,0.000754655,0.000754655
145,64.6679,0.34587,0.31763,0.80282,0.97904,1,0.995,0.91167,0.35282,0.28856,0.80628,0.000749939,0.000749939,0.000749939
146,65.0889,0.36729,0.35956,0.83143,0.97904,1,0.995,0.91167,0.35282,0.28856,0.80628,0.000745223,0.000745223,0.000745223
147,65.5082,0.34747,0.35131,0.85284,0.97904,1,0.995,0.91167,0.35282,0.28856,0.80628,0.000740508,0.000740508,0.000740508
148,65.947,0.30636,0.31168,0.80636,0.97865,1,0.995,0.91673,0.35327,0.27427,0.80957,0.000735792,0.000735792,0.000735792
149,66.3957,0.36017,0.32158,0.82026,0.97865,1,0.995,0.91673,0.35327,0.27427,0.80957,0.000731076,0.000731076,0.000731076
150,66.8347,0.31707,0.30902,0.7881,0.97865,1,0.995,0.91673,0.35327,0.27427,0.80957,0.000726361,0.000726361,0.000726361
151,67.2518,0.3611,0.3204,0.80569,0.97865,1,0.995,0.91673,0.35327,0.27427,0.80957,0.000721645,0.000721645,0.000721645
152,67.6854,0.32428,0.30467,0.81526,0.98322,1,0.995,0.90944,0.36262,0.28466,0.82235,0.000716929,0.000716929,0.000716929
153,68.1032,0.30464,0.30639,0.81876,0.98322,1,0.995,0.90944,0.36262,0.28466,0.82235,0.000712214,0.000712214,0.000712214
154,68.525,0.32508,0.28399,0.83921,0.98322,1,0.995,0.90944,0.36262,0.28466,0.82235,0.000707498,0.000707498,0.000707498
155,69.0625,0.34388,0.30576,0.78323,0.98322,1,0.995,0.90944,0.36262,0.28466,0.82235,0.000702782,0.000702782,0.000702782
156,69.5222,0.34307,0.29238,0.81842,0.98602,1,0.995,0.89506,0.3972,0.3087,0.83209,0.000698066,0.000698066,0.000698066
157,69.9519,0.3492,0.32539,0.8371,0.98602,1,0.995,0.89506,0.3972,0.3087,0.83209,0.000693351,0.000693351,0.000693351
158,70.3702,0.33535,0.30204,0.78513,0.98602,1,0.995,0.89506,0.3972,0.3087,0.83209,0.000688635,0.000688635,0.000688635
159,70.7895,0.30645,0.30165,0.79499,0.98602,1,0.995,0.89506,0.3972,0.3087,0.83209,0.000683919,0.000683919,0.000683919
160,71.2227,0.2706,0.25974,0.79048,0.98618,1,0.995,0.90491,0.38807,0.29186,0.8211,0.000679204,0.000679204,0.000679204
161,71.6398,0.27326,0.272,0.8295,0.98618,1,0.995,0.90491,0.38807,0.29186,0.8211,0.000674488,0.000674488,0.000674488
162,72.0879,0.30552,0.28253,0.7765,0.98618,1,0.995,0.90491,0.38807,0.29186,0.8211,0.000669772,0.000669772,0.000669772
163,72.5331,0.288,0.28291,0.79522,0.98618,1,0.995,0.90491,0.38807,0.29186,0.8211,0.000665057,0.000665057,0.000665057
164,72.9757,0.27322,0.27594,0.84421,0.9849,1,0.995,0.90227,0.35173,0.26696,0.8015,0.000660341,0.000660341,0.000660341
165,73.3923,0.3663,0.30708,0.81077,0.9849,1,0.995,0.90227,0.35173,0.26696,0.8015,0.000655625,0.000655625,0.000655625
166,73.9078,0.33154,0.28808,0.77868,0.9849,1,0.995,0.90227,0.35173,0.26696,0.8015,0.000650909,0.000650909,0.000650909
167,74.3245,0.32912,0.30675,0.82192,0.9849,1,0.995,0.90227,0.35173,0.26696,0.8015,0.000646194,0.000646194,0.000646194
168,74.7568,0.33615,0.29611,0.8022,0.98386,1,0.995,0.92278,0.34067,0.26232,0.80526,0.000641478,0.000641478,0.000641478
169,75.1981,0.29524,0.26916,0.78326,0.98386,1,0.995,0.92278,0.34067,0.26232,0.80526,0.000636762,0.000636762,0.000636762
170,75.6466,0.29176,0.25837,0.80744,0.98386,1,0.995,0.92278,0.34067,0.26232,0.80526,0.000632047,0.000632047,0.000632047
171,76.0647,0.28182,0.27415,0.80126,0.98386,1,0.995,0.92278,0.34067,0.26232,0.80526,0.000627331,0.000627331,0.000627331
172,76.5004,0.28437,0.25882,0.77759,0.98384,1,0.995,0.93147,0.34857,0.27335,0.80859,0.000622615,0.000622615,0.000622615
173,76.9472,0.27528,0.27182,0.81528,0.98384,1,0.995,0.93147,0.34857,0.27335,0.80859,0.0006179,0.0006179,0.0006179
174,77.4087,0.29867,0.27092,0.81054,0.98384,1,0.995,0.93147,0.34857,0.27335,0.80859,0.000613184,0.000613184,0.000613184
175,77.9667,0.31069,0.29316,0.81911,0.98384,1,0.995,0.93147,0.34857,0.27335,0.80859,0.000608468,0.000608468,0.000608468
176,78.4597,0.33064,0.30678,0.84087,0.98477,1,0.995,0.91383,0.33928,0.26512,0.81143,0.000603752,0.000603752,0.000603752
177,78.8982,0.34583,0.30053,0.83154,0.98477,1,0.995,0.91383,0.33928,0.26512,0.81143,0.000599037,0.000599037,0.000599037
178,79.3172,0.26821,0.25779,0.75147,0.98477,1,0.995,0.91383,0.33928,0.26512,0.81143,0.000594321,0.000594321,0.000594321
179,79.7387,0.3112,0.28734,0.82214,0.98477,1,0.995,0.91383,0.33928,0.26512,0.81143,0.000589605,0.000589605,0.000589605
180,80.1599,0.29588,0.27767,0.82381,0.98346,1,0.995,0.91979,0.34163,0.27188,0.81043,0.00058489,0.00058489,0.00058489
181,80.5795,0.3337,0.28536,0.78066,0.98346,1,0.995,0.91979,0.34163,0.27188,0.81043,0.000580174,0.000580174,0.000580174
182,81.0091,0.2872,0.26267,0.79117,0.98346,1,0.995,0.91979,0.34163,0.27188,0.81043,0.000575458,0.000575458,0.000575458
183,81.4534,0.3026,0.26718,0.80008,0.98346,1,0.995,0.91979,0.34163,0.27188,0.81043,0.000570743,0.000570743,0.000570743
184,81.8973,0.31493,0.27612,0.77063,0.98125,1,0.995,0.92119,0.34975,0.28738,0.80897,0.000566027,0.000566027,0.000566027
185,82.3031,0.30957,0.29173,0.81276,0.98125,1,0.995,0.92119,0.34975,0.28738,0.80897,0.000561311,0.000561311,0.000561311
186,82.8128,0.34273,0.27179,0.84655,0.98125,1,0.995,0.92119,0.34975,0.28738,0.80897,0.000556595,0.000556595,0.000556595
